"Beta-Plus Decay Q Values"
 36, 23,0
 35, 24,0
 34, 25,0
 33, 26,0
 32, 27,0
 31, 28,1
 30, 29,5
 29, 30,5
 28, 31,5
 27, 32,5
 39, 21,0
 38, 22,0
 37, 23,0
 36, 24,0
 35, 25,0
 34, 26,0
 33, 27,0
 32, 28,0
 31, 29,5
 30, 30,5
 29, 31,5
 28, 32,5
 27, 33,5
 40, 21,0
 39, 22,0
 38, 23,0
 37, 24,0
 36, 25,0
 35, 26,0
 34, 27,0
 33, 28,0
 32, 29,4
 31, 30,5
 30, 31,5
 29, 32,5
 28, 33,5
 40, 22,0
 39, 23,0
 38, 24,0
 37, 25,0
 36, 26,0
 35, 27,0
 34, 28,0
 33, 29,4
 32, 30,3
 31, 31,5
 30, 32,5
 29, 33,5
 41, 22,0
 40, 23,0
 39, 24,0
 38, 25,0
 37, 26,0
 36, 27,0
 35, 28,0
 34, 29,0
 33, 30,4
 32, 31,5
 31, 32,5
 30, 33,5
 42, 22,0
 41, 23,0
 40, 24,0
 39, 25,0
 38, 26,0
 37, 27,0
 36, 28,0
 35, 29,3
 34, 30,0
 33, 31,5
 32, 32,5
 31, 33,5
 30, 34,5
 42, 23,0
 41, 24,0
 40, 25,0
 39, 26,0
 38, 27,0
 37, 28,0
 36, 29,0
 35, 30,2
 34, 31,4
 33, 32,5
 32, 33,5
 31, 34,5
 43, 23,0
 42, 24,0
 41, 25,0
 40, 26,0
 39, 27,0
 38, 28,0
 37, 29,0
 36, 30,0
 35, 31,5
 34, 32,4
 33, 33,5
 32, 34,5
 44, 23,0
 43, 24,0
 42, 25,0
 41, 26,0
 40, 27,0
 39, 28,0
 38, 29,0
 37, 30,0
 36, 31,0
 35, 32,5
 34, 33,5
 33, 34,5
 32, 35,5
 44, 24,0
 43, 25,0
 42, 26,0
 41, 27,0
 40, 28,0
 39, 29,0
 38, 30,0
 37, 31,4
 36, 32,0
 35, 33,5
 34, 34,5
 33, 35,5
 45, 24,0
 44, 25,0
 43, 26,0
 42, 27,0
 41, 28,0
 40, 29,0
 39, 30,0
 38, 31,0
 37, 32,4
 36, 33,4
 35, 34,5
 34, 35,5
 33, 36,5
 46, 24,0
 45, 25,0
 44, 26,0
 43, 27,0
 42, 28,0
 41, 29,0
 40, 30,0
 39, 31,0
 38, 32,0
 37, 33,5
 36, 34,4
 35, 35,5
 34, 36,5
 46, 25,0
 45, 26,0
 44, 27,0
 43, 28,0
 42, 29,0
 41, 30,0
 40, 31,0
 39, 32,0
 38, 33,3
 37, 34,5
 36, 35,5
 35, 36,5
 34, 37,5
 47, 25,0
 46, 26,0
 45, 27,0
 44, 28,0
 43, 29,0
 42, 30,0
 41, 31,0
 40, 32,0
 39, 33,5
 38, 34,0
 37, 35,5
 36, 36,5
 35, 37,5
 47, 26,0
 46, 27,0
 45, 28,0
 44, 29,0
 43, 30,0
 42, 31,0
 41, 32,0
 40, 33,0
 39, 34,4
 38, 35,5
 37, 36,5
 36, 37,5
 35, 38,5
 48, 26,0
 47, 27,0
 46, 28,0
 45, 29,0
 44, 30,0
 43, 31,0
 42, 32,0
 41, 33,4
 40, 34,0
 39, 35,5
 38, 36,4
 37, 37,5
 36, 38,5
 49, 26,0
 48, 27,0
 47, 28,0
 46, 29,0
 45, 30,0
 44, 31,0
 43, 32,0
 42, 33,0
 41, 34,0
 40, 35,4
 39, 36,5
 38, 37,5
 37, 38,5
 36, 39,5
 49, 27,0
 48, 28,0
 47, 29,0
 46, 30,0
 45, 31,0
 44, 32,0
 43, 33,0
 42, 34,0
 41, 35,5
 40, 36,2
 39, 37,5
 38, 38,5
 37, 39,5
 50, 27,0
 49, 28,0
 48, 29,0
 47, 30,0
 46, 31,0
 45, 32,0
 44, 33,0
 43, 34,0
 42, 35,2
 41, 36,4
 40, 37,5
 39, 38,5
 38, 39,5
 37, 40,5
 50, 28,0
 49, 29,0
 48, 30,0
 47, 31,0
 46, 32,0
 45, 33,0
 44, 34,0
 43, 35,4
 42, 36,0
 41, 37,5
 40, 38,4
 39, 39,5
 38, 40,5
 51, 28,0
 50, 29,0
 49, 30,0
 48, 31,0
 47, 32,0
 46, 33,0
 45, 34,0
 44, 35,0
 43, 36,3
 42, 37,4
 41, 38,5
 40, 39,5
 39, 40,5
 38, 41,5
 52, 28,0
 51, 29,0
 50, 30,0
 49, 31,0
 48, 32,0
 47, 33,0
 46, 34,0
 45, 35,3
 44, 36,0
 43, 37,5
 42, 38,3
 41, 39,5
 40, 40,5
 39, 41,5
 52, 29,0
 51, 30,0
 50, 31,0
 49, 32,0
 48, 33,0
 47, 34,0
 46, 35,0
 45, 36,0
 44, 37,4
 43, 38,4
 42, 39,5
 41, 40,5
 40, 41,5
 39, 42,5
 53, 29,0
 52, 30,0
 51, 31,0
 50, 32,0
 49, 33,0
 48, 34,0
 47, 35,0
 46, 36,0
 45, 37,5
 44, 38,0
 43, 39,5
 42, 40,5
 41, 41,5
 40, 42,5
 53, 30,0
 52, 31,0
 51, 32,0
 50, 33,0
 49, 34,0
 48, 35,0
 47, 36,0
 46, 37,0
 45, 38,4
 44, 39,5
 43, 40,5
 42, 41,5
 41, 42,5
 40, 43,5
 54, 30,0
 53, 31,0
 52, 32,0
 51, 33,0
 50, 34,0
 49, 35,0
 48, 36,0
 47, 37,4
 46, 38,0
 45, 39,5
 44, 40,4
 43, 41,5
 42, 42,5
 41, 43,5
 55, 30,0
 54, 31,0
 53, 32,0
 52, 33,0
 51, 34,0
 50, 35,0
 49, 36,0
 48, 37,0
 47, 38,1
 46, 39,4
 45, 40,5
 44, 41,5
 43, 42,5
 42, 43,5
 41, 44,5
 55, 31,0
 54, 32,0
 53, 33,0
 52, 34,0
 51, 35,0
 50, 36,0
 49, 37,0
 48, 38,0
 47, 39,5
 46, 40,2
 45, 41,5
 44, 42,5
 43, 43,5
 42, 44,5
 56, 31,0
 55, 32,0
 54, 33,0
 53, 34,0
 52, 35,0
 51, 36,0
 50, 37,0
 49, 38,0
 48, 39,3
 47, 40,4
 46, 41,5
 45, 42,5
 44, 43,5
 43, 44,5
 56, 32,0
 55, 33,0
 54, 34,0
 53, 35,0
 52, 36,0
 51, 37,0
 50, 38,0
 49, 39,4
 48, 40,0
 47, 41,5
 46, 42,4
 45, 43,5
 44, 44,5
 43, 45,5
 57, 32,0
 56, 33,0
 55, 34,0
 54, 35,0
 53, 36,0
 52, 37,0
 51, 38,0
 50, 39,0
 49, 40,4
 48, 41,5
 47, 42,5
 46, 43,5
 45, 44,5
 44, 45,5
 58, 32,0
 57, 33,0
 56, 34,0
 55, 35,0
 54, 36,0
 53, 37,0
 52, 38,0
 51, 39,0
 50, 40,0
 49, 41,5
 48, 42,4
 47, 43,5
 46, 44,5
 45, 45,5
 44, 46,5
 58, 33,0
 57, 34,0
 56, 35,0
 55, 36,0
 54, 37,0
 53, 38,0
 52, 39,0
 51, 40,0
 50, 41,2
 49, 42,5
 48, 43,5
 47, 44,5
 46, 45,5
 45, 46,5
 59, 33,0
 58, 34,0
 57, 35,0
 56, 36,0
 55, 37,0
 54, 38,0
 53, 39,0
 52, 40,0
 51, 41,3
 50, 42,0
 49, 43,5
 48, 44,5
 47, 45,5
 46, 46,5
 45, 47,5
 59, 34,0
 58, 35,0
 57, 36,0
 56, 37,0
 55, 38,0
