At. num | Sp. Name      | Ion Charge | El. Name     | Isoel. Seq. | Ground Shells (a)    | Ground Level       | Ionized Level                      |      Ionization Energy (b) (eV)       | References
      5 | B V           |         +4 | Boron        | H           | 1s                   | 2S<1/2>            |                                    |          (340.2260080(25))            |             L12548
      6 | C I           |          0 | Carbon       | C           | 1s2.2s2.2p2          | 3P0                | 2p 2P*<1/2>                        |            11.260300(12)              |              L8844
      6 | C II          |         +1 | Carbon       | B           | 1s2.2s2.2p           | 2P*<1/2>           | 2s2 1S<0>                          |           [24.38450(90)]              |             L11770
      6 | C III         |         +2 | Carbon       | Be          | 1s2.2s2              | 1S0                | 2s 2S<1/2>                         |            47.88778(12)               |               L876
      6 | C IV          |         +3 | Carbon       | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |            64.49351(19)               |             L11667
      6 | C V           |         +4 | Carbon       | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |          [392.090500(25)]             |             L10054
      6 | C VI          |         +5 | Carbon       | H           | 1s                   | 2S<1/2>            |                                    |          (489.9931770(60))            |              L7188
      7 | N I           |          0 | Nitrogen     | N           | 1s2.2s2.2p3          | 4S*<3/2>           | 2p2 3P<0>                          |            14.534130(40)              |              L1411
      7 | N II          |         +1 | Nitrogen     | C           | 1s2.2s2.2p2          | 3P0                | 2p 2P*<1/2>                        |           [29.601250(90)]             |             L11770
      7 | N III         |         +2 | Nitrogen     | B           | 1s2.2s2.2p           | 2P*<1/2>           | 2s2 1S<0>                          |           [47.4453(25)]               |             L11770
      7 | N IV          |         +3 | Nitrogen     | Be          | 1s2.2s2              | 1S0                | 2s 2S<1/2>                         |            77.47350(40)               |         L7288,L876
      7 | N V           |         +4 | Nitrogen     | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |            97.89013(40)               |              L4829
      7 | N VI          |         +5 | Nitrogen     | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |          [552.067310(40)]             |             L10054
      7 | N VII         |         +6 | Nitrogen     | H           | 1s                   | 2S<1/2>            |                                    |          (667.046090(12))             |              L7188
      8 | O I           |          0 | Oxygen       | O           | 1s2.2s2.2p4          | 3P<2>              | 2p3 4S*<3/2>                       |            13.6180540(70)             |          L74,L3760
      8 | O II          |         +1 | Oxygen       | N           | 1s2.2s2.2p3          | 4S*<3/2>           | 2p2 3P<0>                          |            35.121110(60)              |      L11267,L10621
      8 | O III         |         +2 | Oxygen       | C           | 1s2.2s2.2p2          | 3P0                | 2p 2P*<1/2>                        |           [54.93554(12)]              |             L11770
      8 | O IV          |         +3 | Oxygen       | B           | 1s2.2s2.2p           | 2P*<1/2>           | 2s2 1S<0>                          |            77.41350(25)               |               L648
      8 | O V           |         +4 | Oxygen       | Be          | 1s2.2s2              | 1S0                | 2s 2S<1/2>                         |           113.89890(50)               |              L7288
      8 | O VI          |         +5 | Oxygen       | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |          [138.1189(21)]               |              L4713
      8 | O VII         |         +6 | Oxygen       | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |          [739.326790(60)]             |             L10054
      8 | O VIII        |         +7 | Oxygen       | H           | 1s                   | 2S<1/2>            |                                    |          (871.409850(25))             |              L7188
      9 | F I           |          0 | Fluorine     | F           | 1s2.2s2.2p5          | 2P*<3/2>           | 2p4 3P<2>                          |            17.422820(50)              |         L7481,L526
      9 | F II          |         +1 | Fluorine     | O           | 1s2.2s2.2p4          | 3P<2>              | 2p3 4S*<3/2>                       |            34.97081(12)               |               L369
      9 | F III         |         +2 | Fluorine     | N           | 1s2.2s2.2p3          | 4S*<3/2>           | 2p2 3P<0>                          |           [62.70800(25)]              |             L11770
      9 | F IV          |         +3 | Fluorine     | C           | 1s2.2s2.2p2          | 3P0                | 2p 2P*<1/2>                        |           [87.175(17)]                |             L11770
      9 | F V           |         +4 | Fluorine     | B           | 1s2.2s2.2p           | 2P*<1/2>           | 2s2 1S<0>                          |          [114.2490(60)]               |             L11770
      9 | F VI          |         +5 | Fluorine     | Be          | 1s2.2s2              | 1S0                | 2s 2S<1/2>                         |           157.16310(25)               |              L6491
      9 | F VII         |         +6 | Fluorine     | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |          [185.18680(60)]              |              L6335
      9 | F VIII        |         +7 | Fluorine     | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |          [953.89800(10)]              |             L10054
      9 | F IX          |         +8 | Fluorine     | H           | 1s                   | 2S<1/2>            |                                    |         (1103.117430(50))             |              L7188
     10 | Ne I          |          0 | Neon         | Ne          | 1s2.2s2.2p6          | 1S0                | 2p5 2P*<3/2>                       |            21.5645400(70)             |        L8826,L1407
     10 | Ne II         |         +1 | Neon         | F           | 1s2.2s2.2p5          | 2P*<3/2>           | 2p4 3P<2>                          |            40.962960(40)              |              L1406
     10 | Ne III        |         +2 | Neon         | O           | 1s2.2s2.2p4          | 3P<2>              | 2p3 4S*<3/2>                       |            63.42331(30)               |              L9091
     10 | Ne IV         |         +3 | Neon         | N           | 1s2.2s2.2p3          | 4S*<3/2>           | 2s2.2p2 3P<0>                      |           [97.1900(25)]               |             L11782
     10 | Ne V          |         +4 | Neon         | C           | 1s2.2s2.2p2          | 3P0                | 2p 2P*<1/2>                        |           126.247(12)                 |             L11744
     10 | Ne VI         |         +5 | Neon         | B           | 1s2.2s2.2p           | 2P*<1/2>           | 2s2 1S<0>                          |           157.9340(50)                |              L9340
     10 | Ne VII        |         +6 | Neon         | Be          | 1s2.2s2              | 1S0                | 2s 2S<1/2>                         |           207.271(12)                 |              L9089
     10 | Ne VIII       |         +7 | Neon         | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |          [239.0969(19)]               |              L9090
     10 | Ne IX         |         +8 | Neon         | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |         [1195.80779(15)]              |             L10054
     10 | Ne X          |         +9 | Neon         | H           | 1s                   | 2S<1/2>            |                                    |         (1362.199100(90))             |              L7188
     11 | Na I          |          0 | Sodium       | Na          | [Ne].3s              | 2S<1/2>            | 2p6 1S<0>                          |             5.13907670(25)            |       L10921,L9648
     11 | Na II         |         +1 | Sodium       | Ne          | 1s2.2s2.2p6          | 1S0                | 2p5 2P*<3/2>                       |            47.28636(25)               |               L914
     11 | Na III        |         +2 | Sodium       | F           | 1s2.2s2.2p5          | 2P*<3/2>           | 2p4 3P<2>                          |           [71.6200(12)]               |        L5793,L2720
     11 | Na IV         |         +3 | Sodium       | O           | 1s2.2s2.2p4          | 3P<2>              | 2p3 4S*<3/2>                       |           [98.936(12)]                |             L11770
     11 | Na V          |         +4 | Sodium       | N           | 1s2.2s2.2p3          | 4S*<3/2>           | 2p2 3P<0>                          |           138.400(12)                 |              L7482
     11 | Na VI         |         +5 | Sodium       | C           | 1s2.2s2.2p2          | 3P0                | 2p 2P*<1/2>                        |          [172.228(50)]                |             L11770
     11 | Na VII        |         +6 | Sodium       | B           | 1s2.2s2.2p           | 2P*<1/2>           | 2s2 1S<0>                          |          [208.500(12)]                |             L11770
     11 | Na VIII       |         +7 | Sodium       | Be          | 1s2.2s2              | 1S0                | 2s 2S<1/2>                         |          [264.192(22)]                |             L11770
     11 | Na IX         |         +8 | Sodium       | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |          (299.8600(70))               |          L16264c99
     11 | Na X          |         +9 | Sodium       | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |         (1465.134440(25))             |             L13237
     11 | Na XI         |        +10 | Sodium       | H           | 1s                   | 2S<1/2>            |                                    |         (1648.70200(12))              |              L7188
     12 | Mg I          |          0 | Magnesium    | Mg          | [Ne].3s2             | 1S0                | 3s 2S<1/2>                         |             7.6462350(40)             |       L10635,L6969
     12 | Mg II         |         +1 | Magnesium    | Na          | [Ne].3s              | 2S<1/2>            | 2p6 1S<0>                          |            15.0352700(60)             |             L10635
     12 | Mg III        |         +2 | Magnesium    | Ne          | 1s2.2s2.2p6          | 1S0                | 2p5 2P*<3/2>                       |            80.14360(60)               |        L4995,L1434
     12 | Mg IV         |         +3 | Magnesium    | F           | 1s2.2s2.2p5          | 2P*<3/2>           | 2p4 3P<2>                          |          [109.2654(12)]               |        L4995,L2720
     12 | Mg V          |         +4 | Magnesium    | O           | 1s2.2s2.2p4          | 3P<2>              | 2p3 4S*<3/2>                       |          [141.335(30)]                |             L11770
     12 | Mg VI         |         +5 | Magnesium    | N           | 1s2.2s2.2p3          | 4S*<3/2>           | 2p2 3P<0>                          |          [186.760(60)]                |             L10635
     12 | Mg VII        |         +6 | Magnesium    | C           | 1s2.2s2.2p2          | 3P0                | 2p 2P*<1/2>                        |          [225.015(60)]                |             L11770
     12 | Mg VIII       |         +7 | Magnesium    | B           | 1s2.2s2.2p           | 2P*<1/2>           | 2s2 1S<0>                          |          [265.924(19)]                |             L11770
     12 | Mg IX         |         +8 | Magnesium    | Be          | 1s2.2s2              | 1S0                | 2s 2S<1/2>                         |          [327.985(40)]                |             L11770
     12 | Mg X          |         +9 | Magnesium    | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |          (367.5000(70))               |          L16264c99
     12 | Mg XI         |        +10 | Magnesium    | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |         (1761.80481(20))              |             L12128
     12 | Mg XII        |        +11 | Magnesium    | H           | 1s                   | 2S<1/2>            |                                    |         (1962.66400(12))              |              L7188
     13 | Al I          |          0 | Aluminum     | Al          | [Ne].3s2.3p          | 2P*<1/2>           | 3s2 1S<0>                          |             5.9857684(30)             |       L7215,L10321
     13 | Al II         |         +1 | Aluminum     | Mg          | [Ne].3s2             | 1S0                | 3s 2S<1/2>                         |            18.828550(50)              |              L7215
     13 | Al III        |         +2 | Aluminum     | Na          | [Ne].3s              | 2S<1/2>            | 2p6 1S<0>                          |            28.447641(25)              |         L4714,L277
     13 | Al IV         |         +3 | Aluminum     | Ne          | 1s2.2s2.2p6          | 1S0                | 2p5 2P*<3/2>                       |           119.9924(19)                |        L4714,L2829
     13 | Al V          |         +4 | Aluminum     | F           | 1s2.2s2.2p5          | 2P*<3/2>           | 2p4 3P<2>                          |          [153.8252(25)]               |        L4714,L3565
     13 | Al VI         |         +5 | Aluminum     | O           | 1s2.2s2.2p4          | 3P<2>              | 2p3 4S*<3/2>                       |          [190.490(50)]                |              L7215
     13 | Al VII        |         +6 | Aluminum     | N           | 1s2.2s2.2p3          | 4S*<3/2>           | 2p2 3P<0>                          |          [241.760(90)]                |              L7215
     13 | Al VIII       |         +7 | Aluminum     | C           | 1s2.2s2.2p2          | 3P0                | 2p 2P*<1/2>                        |          [284.638(70)]                |             L11770
     13 | Al IX         |         +8 | Aluminum     | B           | 1s2.2s2.2p           | 2P*<1/2>           | 2s2 1S<0>                          |          [330.212(40)]                |             L11770
     13 | Al X          |         +9 | Aluminum     | Be          | 1s2.2s2              | 1S0                | 2s 2S<1/2>                         |          [398.650(60)]                |             L11770
     13 | Al XI         |        +10 | Aluminum     | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |          (442.0050(70))               |          L16264c99
     13 | Al XII        |        +11 | Aluminum     | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |         (2085.97693(20))              |             L12128
     13 | Al XIII       |        +12 | Aluminum     | H           | 1s                   | 2S<1/2>            |                                    |         (2304.14000(25))              |              L7188
     14 | Si I          |          0 | Silicon      | Si          | [Ne].3s2.3p2         | 3P0                | 3p 2P*<1/2>                        |             8.151683(30)              |              L5815
     14 | Si II         |         +1 | Silicon      | Al          | [Ne].3s2.3p          | 2P*<1/2>           | 3s2 1S<0>                          |            16.345845(40)              |              L5815
     14 | Si III        |         +2 | Silicon      | Mg          | [Ne].3s2             | 1S0                | 3s 2S<1/2>                         |            33.493000(90)              |              L5815
     14 | Si IV         |         +3 | Silicon      | Na          | [Ne].3s              | 2S<1/2>            | 2p6 1S<0>                          |            45.141790(70)              |        L5815,L6098
     14 | Si V          |         +4 | Silicon      | Ne          | 1s2.2s2.2p6          | 1S0                | 2p5 2P*<3/2>                       |           166.7670(30)                |              L3934
     14 | Si VI         |         +5 | Silicon      | F           | 1s2.2s2.2p5          | 2P*<3/2>           | 2p4 3P<2>                          |          [205.267(19)]                |              L5815
     14 | Si VII        |         +6 | Silicon      | O           | 1s2.2s2.2p4          | 3P<2>              | 2p3 4S*<3/2>                       |          [246.32(10)]                 |             L11770
     14 | Si VIII       |         +7 | Silicon      | N           | 1s2.2s2.2p3          | 4S*<3/2>           | 2p2 3P<0>                          |          [303.66(17)]                 |             L11770
     14 | Si IX         |         +8 | Silicon      | C           | 1s2.2s2.2p2          | 3P0                | 2p 2P*<1/2>                        |          [351.100(80)]                |             L11770
     14 | Si X          |         +9 | Silicon      | B           | 1s2.2s2.2p           | 2P*<1/2>           | 2s2 1S<0>                          |          [401.380(40)]                |             L11770
     14 | Si XI         |        +10 | Silicon      | Be          | 1s2.2s2              | 1S0                | 2s 2S<1/2>                         |          [476.180(80)]                |             L11770
     14 | Si XII        |        +11 | Silicon      | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |          (523.4150(70))               |          L16264c99
     14 | Si XIII       |        +12 | Silicon      | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |         (2437.65804(20))              |             L12128
     14 | Si XIV        |        +13 | Silicon      | H           | 1s                   | 2S<1/2>            |                                    |         (2673.17740(25))              |              L7188
     15 | P I           |          0 | Phosphorus   | P           | [Ne].3s2.3p3         | 4S*<3/2>           | 3p2 3P<0>                          |            10.486686(15)              |              L5148
     15 | P II          |         +1 | Phosphorus   | Si          | [Ne].3s2.3p2         | 3P0                | 3p 2P*<1/2>                        |           [19.769490(40)]             |             L11770
     15 | P III         |         +2 | Phosphorus   | Al          | [Ne].3s2.3p          | 2P*<1/2>           | 3s2 1S<0>                          |            30.202640(90)              |              L7147
     15 | P IV          |         +3 | Phosphorus   | Mg          | [Ne].3s2             | 1S0                | 3s 2S<1/2>                         |            51.44387(12)               |              L7147
     15 | P V           |         +4 | Phosphorus   | Na          | [Ne].3s              | 2S<1/2>            | 2p6 1S<0>                          |            65.02511(12)               |        L7147,L2613
     15 | P VI          |         +5 | Phosphorus   | Ne          | 1s2.2s2.2p6          | 1S0                | 2p5 2P*<3/2>                       |          [220.4304(50)]               |             L11770
     15 | P VII         |         +6 | Phosphorus   | F           | 1s2.2s2.2p5          | 2P*<3/2>           | 2p4 3P<2>                          |          [263.570(60)]                |              L7147
     15 | P VIII        |         +7 | Phosphorus   | O           | 1s2.2s2.2p4          | 3P<2>              | 2p3 4S*<3/2>                       |          [309.60(10)]                 |              L7147
     15 | P IX          |         +8 | Phosphorus   | N           | 1s2.2s2.2p3          | 4S*<3/2>           | 2p2 3P<0>                          |          [372.31(21)]                 |             L11770
     15 | P X           |         +9 | Phosphorus   | C           | 1s2.2s2.2p2          | 3P0                | 2p 2P*<1/2>                        |          [424.400(90)]                |             L11770
     15 | P XI          |        +10 | Phosphorus   | B           | 1s2.2s2.2p           | 2P*<1/2>           | 2s2 1S<0>                          |          [479.441(50)]                |             L11770
     15 | P XII         |        +11 | Phosphorus   | Be          | 1s2.2s2              | 1S0                | 2s 2S<1/2>                         |          [560.62(10)]                 |             L11770
     15 | P XIII        |        +12 | Phosphorus   | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |          (611.7400(70))               |          L16264c99
     15 | P XIV         |        +13 | Phosphorus   | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |         (2816.90867(20))              |             L12128
     15 | P XV          |        +14 | Phosphorus   | H           | 1s                   | 2S<1/2>            |                                    |         (3069.84140(40))              |              L7188
     16 | S I           |          0 | Sulfur       | S           | [Ne].3s2.3p4         | 3P<2>              | 3p3 4S*<3/2>                       |            10.36001(12)               |              L7237
     16 | S II          |         +1 | Sulfur       | P           | [Ne].3s2.3p3         | 4S*<3/2>           | 3p2 3P<0>                          |            23.33788(25)               |        L7237,L5883
     16 | S III         |         +2 | Sulfur       | Si          | [Ne].3s2.3p2         | 3P0                | 3p 2P*<1/2>                        |           [34.856(40)]                |             L11770
     16 | S IV          |         +3 | Sulfur       | Al          | [Ne].3s2.3p          | 2P*<1/2>           | 3s2 1S<0>                          |           [47.222(12)]                |              L7237
     16 | S V           |         +4 | Sulfur       | Mg          | [Ne].3s2             | 1S0                | 3s 2S<1/2>                         |            72.59449(40)               |              L7237
     16 | S VI          |         +5 | Sulfur       | Na          | [Ne].3s              | 2S<1/2>            | 2p6 1S<0>                          |            88.05292(40)               |        L7237,L4882
     16 | S VII         |         +6 | Sulfur       | Ne          | 1s2.2s2.2p6          | 1S0                | 2p5 2P*<3/2>                       |           280.9540(70)                |              L9896
     16 | S VIII        |         +7 | Sulfur       | F           | 1s2.2s2.2p5          | 2P*<3/2>           | 2p4 3P<2>                          |           328.7900(70)                |             L11242
     16 | S IX          |         +8 | Sulfur       | O           | 1s2.2s2.2p4          | 3P<2>              | 2p3 4S*<3/2>                       |          [379.84(21)]                 |             L11770
     16 | S X           |         +9 | Sulfur       | N           | 1s2.2s2.2p3          | 4S*<3/2>           | 2p2 3P<0>                          |          [447.74(30)]                 |             L11770
     16 | S XI          |        +10 | Sulfur       | C           | 1s2.2s2.2p2          | 3P0                | 2p 2P*<1/2>                        |          [504.55(12)]                 |             L11770
     16 | S XII         |        +11 | Sulfur       | B           | 1s2.2s2.2p           | 2P*<1/2>           | 2s2 1S<0>                          |          [564.407(50)]                |             L11770
     16 | S XIII        |        +12 | Sulfur       | Be          | 1s2.2s2              | 1S0                | 2s 2S<1/2>                         |          [651.96(12)]                 |             L11770
     16 | S XIV         |        +13 | Sulfur       | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |          (706.9940(70))               |          L16264c99
     16 | S XV          |        +14 | Sulfur       | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |         (3223.78059(30))              |             L12128
     16 | S XVI         |        +15 | Sulfur       | H           | 1s                   | 2S<1/2>            |                                    |         (3494.18770(50))              |              L7188
     17 | Cl I          |          0 | Chlorine     | Cl          | [Ne].3s2.3p5         | 2P*<3/2>           | 3p4 3P<2>                          |            12.967632(16)              |             L19191
     17 | Cl II         |         +1 | Chlorine     | S           | [Ne].3s2.3p4         | 3P<2>              | 3p3 4S*<3/2>                       |            23.81364(12)               |              L1617
     17 | Cl III        |         +2 | Chlorine     | P           | [Ne].3s2.3p3         | 4S*<3/2>           | 3p2 3P<0>                          |           [39.80(11)]                 |             L11770
     17 | Cl IV         |         +3 | Chlorine     | Si          | [Ne].3s2.3p2         | 3P0                | 3p 2P*<1/2>                        |           [53.24(12)]                 |             L11770
     17 | Cl V          |         +4 | Chlorine     | Al          | [Ne].3s2.3p          | 2P*<1/2>           | 3s2 1S<0>                          |           [67.68(10)]                 |             L11770
     17 | Cl VI         |         +5 | Chlorine     | Mg          | [Ne].3s2             | 1S0                | 3s 2S<1/2>                         |           [96.940(40)]                |             L11770
     17 | Cl VII        |         +6 | Chlorine     | Na          | [Ne].3s              | 2S<1/2>            | 2p6 1S<0>                          |           114.20130(60)               |              L6356
     17 | Cl VIII       |         +7 | Chlorine     | Ne          | 1s2.2s2.2p6          | 1S0                | 2p5 2P*<3/2>                       |           348.3060(70)                |              L6972
     17 | Cl IX         |         +8 | Chlorine     | F           | 1s2.2s2.2p5          | 2P*<3/2>           | 2p4 3P<2>                          |           400.851(12)                 |              L9369
     17 | Cl X          |         +9 | Chlorine     | O           | 1s2.2s2.2p4          | 3P<2>              | 2p3 4S*<3/2>                       |          [456.68(40)]                 |             L11770
     17 | Cl XI         |        +10 | Chlorine     | N           | 1s2.2s2.2p3          | 4S*<3/2>           | 2p2 3P<0>                          |          [529.97(40)]                 |             L11770
     17 | Cl XII        |        +11 | Chlorine     | C           | 1s2.2s2.2p2          | 3P0                | 2p 2P*<1/2>                        |          [591.58(19)]                 |             L11770
     17 | Cl XIII       |        +12 | Chlorine     | B           | 1s2.2s2.2p           | 2P*<1/2>           | 2s2 1S<0>                          |          [656.30(12)]                 |             L11770
     17 | Cl XIV        |        +13 | Chlorine     | Be          | 1s2.2s2              | 1S0                | 2s 2S<1/2>                         |          [750.20(19)]                 |             L11770
     17 | Cl XV         |        +14 | Chlorine     | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |          (809.1980(70))               |          L16264c99
     17 | Cl XVI        |        +15 | Chlorine     | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |         (3658.34362(30))              |             L12128
     17 | Cl XVII       |        +16 | Chlorine     | H           | 1s                   | 2S<1/2>            |                                    |         (3946.29080(60))              |              L7188
     18 | Ar I          |          0 | Argon        | Ar          | [Ne].3s2.3p6         | 1S0                | 3p5 2P*<3/2>                       |            15.75961120(50)            |              L9217
     18 | Ar II         |         +1 | Argon        | Cl          | [Ne].3s2.3p5         | 2P*<3/2>           | 3p4 3P<2>                          |            27.62967(12)               |              L8844
     18 | Ar III        |         +2 | Argon        | S           | [Ne].3s2.3p4         | 3P<2>              | 3p3 4S*<3/2>                       |           [40.735(12)]                |              L8114
     18 | Ar IV         |         +3 | Argon        | P           | [Ne].3s2.3p3         | 4S*<3/2>           | 3p2 3P<0>                          |           [59.58(18)]                 |             L11770
     18 | Ar V          |         +4 | Argon        | Si          | [Ne].3s2.3p2         | 3P0                | 3p 2P*<1/2>                        |           [74.84(17)]                 |             L11770
     18 | Ar VI         |         +5 | Argon        | Al          | [Ne].3s2.3p          | 2P*<1/2>           | 3s2 1S<0>                          |            91.290(10)                 |             L12277
     18 | Ar VII        |         +6 | Argon        | Mg          | [Ne].3s2             | 1S0                | 3s 2S<1/2>                         |          [124.412(60)]                |             L11770
     18 | Ar VIII       |         +7 | Argon        | Na          | [Ne].3s              | 2S<1/2>            | 2p6 1S<0>                          |          [143.4567(12)]               |              L4344
     18 | Ar IX         |         +8 | Argon        | Ne          | 1s2.2s2.2p6          | 1S0                | 2p5 2P*<3/2>                       |          [422.598(60)]                |             L11770
     18 | Ar X          |         +9 | Argon        | F           | 1s2.2s2.2p5          | 2P*<3/2>           | 2p4 3P<2>                          |          [479.76(12)]                 |          L11242c99
     18 | Ar XI         |        +10 | Argon        | O           | 1s2.2s2.2p4          | 3P<2>              | 2p3 4S*<3/2>                       |          [540.43(60)]                 |             L11770
     18 | Ar XII        |        +11 | Argon        | N           | 1s2.2s2.2p3          | 4S*<3/2>           | 2p2 3P<0>                          |          [618.95(40)]                 |             L11770
     18 | Ar XIII       |        +12 | Argon        | C           | 1s2.2s2.2p2          | 3P0                | 2p 2P*<1/2>                        |          [685.47(30)]                 |             L11770
     18 | Ar XIV        |        +13 | Argon        | B           | 1s2.2s2.2p           | 2P*<1/2>           | 2s2 1S<0>                          |          [755.13(22)]                 |             L11770
     18 | Ar XV         |        +14 | Argon        | Be          | 1s2.2s2              | 1S0                | 2s 2S<1/2>                         |          [855.47(30)]                 |             L11770
     18 | Ar XVI        |        +15 | Argon        | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |          (918.3740(70))               |          L16264c99
     18 | Ar XVII       |        +16 | Argon        | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |         (4120.66550(40))              |             L12128
     18 | Ar XVIII      |        +17 | Argon        | H           | 1s                   | 2S<1/2>            |                                    |         (4426.22270(70))              |              L7188
     19 | K I           |          0 | Potassium    | K           | [Ar].4s              | 2S<1/2>            | 3p6 1S<0>                          |             4.340663540(90)           |  L5451,L5783,L7185
     19 | K II          |         +1 | Potassium    | Ar          | [Ne].3s2.3p6         | 1S0                | 3p5 2P*<3/2>                       |            31.62500(19)               |             L12188
     19 | K III         |         +2 | Potassium    | Cl          | [Ne].3s2.3p5         | 2P*<3/2>           | 3p4 3P<2>                          |           [45.8031(17)]               |             L11770
     19 | K IV          |         +3 | Potassium    | S           | [Ne].3s2.3p4         | 3P<2>              | 3p3 4S*<3/2>                       |           [60.917(19)]                |             L11770
     19 | K V           |         +4 | Potassium    | P           | [Ne].3s2.3p3         | 4S*<3/2>           | 3p2 3P<0>                          |           [82.66(16)]                 |               L241
     19 | K VI          |         +5 | Potassium    | Si          | [Ne].3s2.3p2         | 3P0                | 3p 2P*<1/2>                        |           [99.40(20)]                 |              L7185
     19 | K VII         |         +6 | Potassium    | Al          | [Ne].3s2.3p          | 2P*<1/2>           | 3s2 1S<0>                          |           117.56(11)                  |              L7185
     19 | K VIII        |         +7 | Potassium    | Mg          | [Ne].3s2             | 1S0                | 3s 2S<1/2>                         |          [154.870(50)]                |             L12392
     19 | K IX          |         +8 | Potassium    | Na          | [Ne].3s              | 2S<1/2>            | 2p6 1S<0>                          |          [175.8174(25)]               |              L4344
     19 | K X           |         +9 | Potassium    | Ne          | 1s2.2s2.2p6          | 1S0                | 2p5 2P*<3/2>                       |          [503.670(70)]                |             L11770
     19 | K XI          |        +10 | Potassium    | F           | 1s2.2s2.2p5          | 2P*<3/2>           | 2p4 3P<2>                          |          [565.60(70)]                 |             L11770
     19 | K XII         |        +11 | Potassium    | O           | 1s2.2s2.2p4          | 3P<2>              | 2p3 4S*<3/2>                       |          [631.00(90)]                 |             L11770
     19 | K XIII        |        +12 | Potassium    | N           | 1s2.2s2.2p3          | 4S*<3/2>           | 2p2 3P<0>                          |          [714.71(50)]                 |             L11770
     19 | K XIV         |        +13 | Potassium    | C           | 1s2.2s2.2p2          | 3P0                | 2p 2P*<1/2>                        |          [786.26(30)]                 |             L11770
     19 | K XV          |        +14 | Potassium    | B           | 1s2.2s2.2p           | 2P*<1/2>           | 2s2 1S<0>                          |          [860.92(25)]                 |             L11770
